Ingredient,Vector
prosciutto,"[-0.054478686, 0.07475936, 0.027303737, 0.006651742, -0.10445613, 0.012456074, -0.016491525, 0.03622769, 0.0535492, 0.051882796, -0.04925191, 0.056059998, 0.09145837, -0.044485573, 0.008348417, 0.05407276, -0.016293028, 0.024668938, 0.049826495, 0.08328538, -0.06422672, 0.04472227, -0.016448582, 0.028134648, 0.00061150314, 0.08495877, 0.00022724601, -0.08529009, -0.06629461, -0.026158074, 0.05033016, 0.04317753, 0.047962565, 0.008119381, -0.0063483794, -0.011366588, 0.021015953, 0.025942741, -0.024936438, -0.055119194, 0.060070377, -0.06517685, -0.06924474, -0.037631776, 0.016681049, -0.054872647, 0.012337912, -0.05406232, -0.010585547, 0.0040692347, -0.018917916, -0.015991138, -0.009247972, -0.028153868, 0.06901446, 0.026185991, 0.036678083, -0.004244341, 0.039389487, 0.0018188002, 0.0293193, -0.01027051, -0.01380938, -0.01668468, 0.045651246, -0.02522698, -0.022424152, 0.018298855, 0.068192616, -0.014230386, -0.09475145, -0.017427042, 0.0482098, 0.0011301548, 0.029182192, 0.04416682, 0.014402655, -0.015061083, 0.054124016, 0.0011396313, 0.055472128, 0.05975415, 0.10084481, 0.041473053, 0.02574883, 0.045384537, -0.056172743, -0.044430558, 0.06462432, -0.048984822, 0.0509043, -0.0051133563, -0.017157122, 0.025193019, -0.07269261, -0.005966187, 0.043523576, 0.0829272, 0.04973052, -0.0011768269]"
crabmeat,"[-0.05083978, 0.04746148, 0.0051235687, 0.016245298, -0.058459014, 0.01091168, -0.0020421187, 0.030347522, 0.04198367, 0.030900018, -0.011346799, 0.058140278, 0.055584606, -0.050206732, -0.004753791, 0.037991356, -0.036629748, 0.04298726, 0.050966345, 0.045403413, -0.043757435, 0.0030990082, 0.006020038, 0.013822497, -0.0017795684, 0.052706014, -0.006985653, -0.04126326, -0.043977287, -0.028746814, 0.03449848, 0.024099268, 0.03675389, 0.01229839, 0.003031887, -0.011415521, 0.012654164, 0.024122113, -0.006613877, -0.04595619, 0.051414374, -0.04565013, -0.055806983, -0.03447699, 0.0066127176, -0.054684326, 0.019727042, -0.041781574, -0.017532138, 0.011646102, -0.03316083, 0.00022218561, 0.008928015, -0.012447796, 0.04734567, 0.03172513, 0.043753505, -0.013309121, 0.027146723, -0.030722078, 0.0051954393, -0.017546203, 0.010743603, -0.025631212, 0.03548274, 0.005976478, -0.01849914, -0.008594157, 0.04803125, -0.005701377, -0.06062327, -0.0007660206, 0.051385608, 0.021710379, 0.033065714, 0.036497775, 0.020417253, -0.004177024, 0.04089659, -0.0054466287, 0.05955406, 0.04516733, 0.056370143, 0.058007926, 0.014086955, 0.032394283, -0.053583167, -0.044376783, 0.05281496, -0.045581367, 0.021902777, -0.023906346, -0.042186353, 0.023879858, -0.053384405, 0.012757592, 0.015182554, 0.04509183, 0.043231938, -0.004819875]"
strawberries,"[-0.031075805, 0.03138015, 0.045656268, 0.011369964, -0.13041463, 0.0062659993, 0.0019612946, 0.071362264, -0.00016368405, 0.0985409, -0.084595665, 0.016495533, 0.022354305, -0.025866576, 0.011071911, 0.069877975, -0.026542362, 0.042868227, 0.018313276, -0.0075047854, -0.099022746, 0.013076328, 0.0065514944, -0.002612937, -0.0069804867, 0.03571239, 0.0034710786, -0.12840939, -0.021821026, -0.025886238, 0.030479386, 0.02183925, 0.09608856, -0.06399748, 0.016607665, -0.033146676, 0.06867799, 0.027159302, -0.025799079, 0.00040901612, 0.020659458, -0.012083664, -0.07064223, -0.050610825, 0.049462195, -0.02498797, 0.029408759, 0.02100661, -0.015525314, 0.020877533, -0.046008833, -0.04176803, 0.021304432, -0.020591067, 0.08793257, 0.034214098, 0.08864245, -0.041685868, 0.0737519, -0.019237142, 0.007920063, -0.045452747, 0.0077153067, -0.046934646, 0.03236194, -0.027227286, 0.006819058, -0.0073935986, 0.05843039, 0.007849306, -0.01549775, -0.05942806, 0.010458347, 0.03370104, 0.00067312317, -0.0061560087, 0.047290295, -0.03684347, 0.009748105, -0.037131853, 0.02680369, 0.038021512, 0.015635181, 0.06356497, -0.017611202, 0.086612165, -0.05338659, -0.036056757, 0.014680328, -0.004039957, 0.032723308, -0.03810797, -0.027618915, 0.037807103, -0.011968113, 0.0028284783, 0.036925074, 0.031017268, 0.042870764, 0.033037316]"
green_peppercorns,"[-0.03233301, 0.021941911, 0.020906394, 0.034670237, -0.031988546, 0.03330379, 0.035473514, 0.02719581, 0.040293522, 0.038454395, -0.026058527, 0.021884304, 0.04060999, -0.030875575, -0.033138998, 0.038619433, -0.031073825, 0.034472734, 0.031747587, 0.035543133, -0.0391093, -0.034508623, 0.036571633, -0.03855005, -0.021818483, 0.038750973, -0.035679605, -0.027697919, -0.028381757, -0.031478904, 0.03434818, -0.03255253, 0.02978903, 0.024897922, 0.032595508, -0.035230093, 0.027414516, 0.037361275, 0.035296842, -0.027988175, 0.021233253, -0.026486754, -0.026942706, -0.021737741, 0.031277988, -0.036198515, 0.022431996, -0.037226334, -0.020526197, 0.032079045, -0.033505, -0.024887724, 0.02218765, 0.028899102, 0.03711768, 0.02710074, 0.03817356, -0.03153822, -0.034359843, -0.020967219, -0.019785421, -0.019278698, 0.019349715, -0.03727292, 0.03997998, 0.023756472, -0.02055138, -0.024044506, 0.027097909, 0.028146539, -0.023668008, -0.029054893, 0.03597799, 0.035558145, 0.034887195, 0.028198844, 0.024086785, -0.0365429, 0.027847061, -0.02795207, 0.02378277, 0.03489557, 0.03895046, 0.0366328, -0.020327842, 0.02525081, -0.023596713, -0.03970604, 0.03113242, -0.030445173, -0.020977806, -0.03380516, -0.022007935, 0.02493393, -0.027366536, 0.037750896, -0.021958198, 0.02600044, 0.023191653, 0.030589115]"
chipotle_peppers,"[-0.03607721, 0.039300628, 0.03215577, 0.0067111333, -0.0536944, 0.008289496, 0.012101614, 0.03447733, 0.030491872, 0.045584083, -0.027357727, 0.04387607, 0.05345509, -0.034488235, -0.011573674, 0.045913722, -0.031160502, 0.023185408, 0.022629863, 0.034908213, -0.03940351, -0.0034623495, 0.010144162, 0.0052845804, -0.003041799, 0.054029316, -0.020089926, -0.057126965, -0.040983893, -0.024470901, 0.042563286, 0.0141478665, 0.050031226, 0.01924882, 0.002769523, -0.009776929, 0.034214534, 0.019958176, 0.0032700018, -0.022763956, 0.040627565, -0.034163393, -0.05364576, -0.029378884, 0.022912627, -0.042430785, 0.031126779, -0.036010154, -0.0066624423, 0.025038261, -0.02532102, -0.023452992, 0.024342328, -0.017049842, 0.0606217, 0.029605987, 0.055041917, -0.02566355, 0.020034371, -0.021397647, 0.0046278927, -0.02628546, 0.004062233, -0.03992958, 0.030465009, -0.0015278604, -0.023033112, -0.010191641, 0.03996592, 0.0058084177, -0.039071027, -0.03418606, 0.034630314, 0.01138359, 0.035469994, 0.022218673, 0.026740037, -0.025673999, 0.02552208, -0.02703553, 0.03999949, 0.037466574, 0.045542162, 0.038261402, -0.0101742, 0.042354595, -0.02629537, -0.03187934, 0.039719433, -0.02618127, 0.0013612936, -0.038332116, -0.019645113, 0.029055731, -0.03137008, 0.012387989, 0.012424022, 0.036320567, 0.025780916, 0.018143827]"
filet,"[-0.03298869, 0.03660509, 0.01304354, 0.015744772, -0.03501138, 0.019727806, 0.020395484, 0.025744965, 0.02213806, 0.033870712, -0.03701694, 0.027299212, 0.038663965, -0.025801372, -0.012414264, 0.02299989, -0.017665299, 0.028976161, 0.034051552, 0.027299942, -0.028703801, -0.020080382, 0.018822998, -0.021297602, -0.024834553, 0.041753035, -0.029666292, -0.05004557, -0.028759344, -0.022524962, 0.03154487, -0.0070752357, 0.03924001, 0.017296288, 0.018603, -0.016210437, 0.029177986, 0.029246796, 0.00878511, -0.034282707, 0.018907249, -0.0331082, -0.026256043, -0.039830156, 0.03377446, -0.027356787, 0.021589039, -0.027952518, -0.025528703, 0.027433256, -0.038502757, -0.033409283, 0.012670268, 0.015498459, 0.03552018, 0.017567027, 0.03752783, -0.019301867, -0.01856653, -0.018091999, -0.025837569, -0.013571549, 0.016795214, -0.03034479, 0.016531827, 0.013585354, -0.028925806, -0.011323541, 0.027910378, 0.016191136, -0.031590965, -0.025473507, 0.032182634, 0.019323036, 0.032044895, 0.017114688, 0.021651475, -0.013275263, 0.03586849, -0.015270833, 0.03435101, 0.02894748, 0.022709679, 0.03188773, -0.01594205, 0.038278673, -0.036694206, -0.03309578, 0.0189999, -0.027824584, -0.008917551, -0.018281568, -0.024196463, 0.03450831, -0.03470937, 0.011238969, -0.023238776, 0.03518536, 0.021887813, 0.01180558]"
fresh_raspberries,"[-0.024032928, 0.027618255, 0.038232666, 0.006831571, -0.091480196, 0.017035475, 0.023367962, 0.045573197, -0.0024030614, 0.06611372, -0.065094784, 0.01308581, 0.016982881, -0.01997097, 0.006414974, 0.051972613, -0.028485142, 0.020752372, 0.009012658, 0.012075541, -0.069260515, -0.011938491, 0.023400165, -0.015198425, -0.011087925, 0.025679987, -0.0055400957, -0.09605744, -0.017263902, -0.036067437, 0.022576068, 0.0077705835, 0.06101657, -0.028244594, 0.010063087, -0.04616149, 0.045583587, 0.034996748, 0.00923404, -0.0031530042, 0.021002496, -0.007668133, -0.05438189, -0.031078245, 0.037119247, -0.02566661, 0.033229668, 0.0011343096, -0.009957924, 0.019988384, -0.030908866, -0.031451005, 0.02860619, 0.0020337966, 0.06267324, 0.03167573, 0.06998977, -0.041802745, 0.03803607, -0.025993628, -0.015539512, -0.028703881, 0.024144711, -0.045134004, 0.024023077, -0.0003718576, 0.0017638872, -0.014037456, 0.04520132, 0.021809282, -0.0077835494, -0.058212332, 0.014848468, 0.028658463, 0.01666313, 0.00832625, 0.041961275, -0.04325534, 0.010354117, -0.043872703, 0.028478319, 0.021290498, 0.021043787, 0.04156782, -0.017161196, 0.052410398, -0.045828793, -0.018922765, 0.003665478, -0.005378842, 0.0069390223, -0.03732191, -0.024087902, 0.026439268, -0.007118027, 0.005488565, 0.021530753, 0.023289252, 0.03347143, 0.031284552]"
russet_potatoes,"[-0.05618153, 0.06749515, -0.0005050964, 0.010204577, -0.11613083, 0.014222899, -0.023431849, 0.06335028, 0.051082328, 0.083456576, -0.04605222, 0.05390022, 0.08501151, -0.059689756, 0.014068937, 0.07153813, -0.035300203, 0.051242042, 0.047856536, 0.06965483, -0.05959037, 0.031073183, 0.0072991536, 0.02654135, -0.00038125715, 0.07937132, -0.012549539, -0.09713614, -0.061989624, -0.024685446, 0.05590019, 0.06917723, 0.04987018, 0.00531405, 0.0057139536, -0.014246008, 0.018854959, 0.020787394, -0.02410622, -0.05912677, 0.07245703, -0.062949955, -0.06852261, -0.05345822, 0.014408948, -0.07136119, 0.014800547, -0.049147762, -0.010375497, 0.007340884, -0.034269955, -0.012885397, 0.012955491, -0.050780118, 0.09092319, 0.039655045, 0.05541767, -0.01870923, 0.054239444, -0.017753305, 0.027854787, -0.015759325, 0.00021549578, -0.039881025, 0.036286544, -0.026235757, -0.014780195, 0.008639927, 0.052806187, -0.034546997, -0.07172762, -0.015154824, 0.046554465, 0.016061084, 0.051233105, 0.032183573, 0.022590557, 0.0014003726, 0.06529538, -0.0069523025, 0.06667796, 0.06386385, 0.08419003, 0.079848684, 0.035500903, 0.05969761, -0.057011373, -0.05588504, 0.071656436, -0.053279337, 0.054592863, -0.022858193, -0.03465354, 0.04537224, -0.0489344, -0.024358712, 0.049278565, 0.068128325, 0.05644334, -0.007940115]"
mexican_chorizo,"[-0.023232056, 0.022199294, 0.034354713, 0.025406286, -0.04596838, 0.012404431, 0.026749395, 0.024794912, 0.025936235, 0.04555541, -0.040983103, 0.018407553, 0.01859999, -0.027490376, -0.01254864, 0.042001877, -0.03262643, 0.01959818, 0.025520502, 0.022104135, -0.04029532, -0.010244843, 0.023635563, -0.023710653, -0.013275268, 0.037153598, -0.027767008, -0.046515703, -0.029020697, -0.025108015, 0.019021455, -0.0031289621, 0.037609313, 0.013264612, 0.014143765, -0.030996447, 0.029174203, 0.017487748, 0.0027216915, -0.024619456, 0.02962237, -0.028770281, -0.02802423, -0.03167498, 0.020331718, -0.03365756, 0.021811737, -0.02072446, -0.020518119, 0.028018514, -0.022473786, -0.024764638, 0.025042797, 0.008724392, 0.03613589, 0.022632526, 0.03408371, -0.025751237, -0.004875915, -0.030555034, -0.0044001034, -0.028774668, 0.017015155, -0.028419146, 0.021122262, 0.0108934995, -0.028524838, -0.01086982, 0.035597403, 0.008743527, -0.028502036, -0.030489594, 0.03271256, 0.022112612, 0.019755168, 0.014059156, 0.033641458, -0.014804567, 0.027350869, -0.027238587, 0.029321177, 0.017550578, 0.022932665, 0.043994784, -0.01648628, 0.03532873, -0.029812252, -0.021801107, 0.029643333, -0.02767241, -0.010508829, -0.016587984, -0.014942797, 0.03112038, -0.02764572, 0.011696063, -0.0035866376, 0.02556528, 0.020555593, 0.026807144]"
half__half,"[-0.058242377, 0.052645948, 0.033968613, 0.010966083, -0.13644522, 0.00089665543, -0.029113833, 0.06719605, 0.026802143, 0.097827174, -0.078730546, 0.06263282, 0.07867849, -0.044970453, 0.035375126, 0.07456119, -0.03216923, 0.047877405, 0.039130542, 0.057403877, -0.09849397, 0.058683418, -0.0053545358, 0.04730835, 0.0065050875, 0.07870826, 0.015974242, -0.14395119, -0.048478257, -0.018084528, 0.044453964, 0.063772485, 0.10957614, -0.03685798, -0.0008961139, -0.025501102, 0.052625213, 0.031912446, -0.03543439, -0.04271863, 0.055306483, -0.05466426, -0.07343745, -0.046440244, 0.026732573, -0.050396603, 0.02208044, -0.01135174, -0.0020125, -0.0070864544, -0.039534304, -0.0077566374, 0.006614374, -0.061571956, 0.109467775, 0.035940684, 0.09928731, -0.03113546, 0.09132961, -0.0025055092, 0.034260474, -0.0108463215, -0.020687273, -0.042470198, 0.052450947, -0.048351746, 0.0062285685, 0.008986193, 0.06977454, -0.028640987, -0.056850318, -0.042468585, 0.02629857, 0.008659175, 0.029996265, 0.016888844, 0.027795384, -0.032011468, 0.044072237, -0.035248354, 0.052666184, 0.058771446, 0.05935388, 0.07711872, 0.03399701, 0.08539951, -0.058564432, -0.05809325, 0.0588748, -0.017690688, 0.07536708, -0.026540838, -0.03115437, 0.040023148, -0.044037603, -0.02766353, 0.0784203, 0.056823697, 0.0451409, 0.027514005]"
dry_vermouth,"[-0.02650417, 0.037784915, 0.029545626, 0.02662486, -0.044611827, 0.024536476, 0.015123503, 0.03374178, 0.021002484, 0.033781197, -0.025993433, 0.03008239, 0.03107581, -0.027217181, -0.01585733, 0.030525485, -0.032172147, 0.02157077, 0.035428334, 0.023551967, -0.024294283, -0.02239669, 0.021851227, -0.02192763, -0.02554052, 0.023947483, -0.02786988, -0.046689007, -0.026855294, -0.02013121, 0.025895188, -0.028033113, 0.032491226, 0.03147614, 0.016898058, -0.026802067, 0.033406496, 0.03690298, 0.024491569, -0.03254143, 0.021049928, -0.022600804, -0.029587353, -0.024446044, 0.023697447, -0.03452541, 0.031107103, -0.039507788, -0.029492842, 0.017885601, -0.028787069, -0.025600325, 0.03044598, 0.024548458, 0.037995007, 0.025013674, 0.039977, -0.01773693, -0.021753268, -0.01900661, -0.0143928835, -0.03115479, 0.015936406, -0.035039634, 0.021046381, 0.02461245, -0.021709867, -0.018757304, 0.029404586, 0.02108128, -0.022247914, -0.033567462, 0.031618882, 0.019167809, 0.038469248, 0.021479174, 0.029270494, -0.018698223, 0.024303516, -0.033975914, 0.028575784, 0.02671127, 0.03252874, 0.024879087, -0.031893063, 0.03588787, -0.022221891, -0.021170203, 0.03637178, -0.019964095, -0.0162544, -0.030425271, -0.023505136, 0.033739876, -0.02738159, 0.033903867, -0.017888548, 0.022237992, 0.0301124, 0.016236676]"
toasted_sesame_seeds,"[-0.075252324, 0.06917121, -0.021891892, 0.02391786, -0.1309958, 0.013635126, -0.02970593, 0.081568755, 0.036122322, 0.11649063, -0.055412125, 0.080840126, 0.094419464, -0.052002117, 0.05476923, 0.09569808, -0.049075104, 0.05172546, 0.06452137, 0.06492791, -0.083653115, 0.07365877, -0.00037417558, 0.10960567, -0.007106931, 0.09776088, 0.0074775377, -0.12729454, -0.09060348, -0.043154106, 0.077096835, 0.15460385, 0.09240025, -0.040056992, -0.016141025, -0.0122992005, -0.0060295216, 0.03566225, -0.0634217, -0.055181418, 0.071872026, -0.07223055, -0.07640919, -0.06437356, -0.025851196, -0.08368988, 0.038593154, -0.03215214, -0.0011417429, 0.00045898568, -0.06412817, 0.012810767, 0.0010518433, -0.11290572, 0.1304198, 0.06835636, 0.10481285, -0.020422623, 0.14681649, -0.018997407, 0.09607918, -0.007017739, -0.019605486, -0.06045027, 0.0608572, -0.07107756, -0.01929577, 0.007656371, 0.06674963, -0.058384683, -0.07988246, -0.0020483215, 0.063200556, 0.01357104, 0.061626814, 0.04256993, 0.05038469, 0.0009838874, 0.067929745, -0.02580341, 0.0725764, 0.085924454, 0.10674398, 0.11375757, 0.11391468, 0.09348621, -0.06909266, -0.061610445, 0.06449475, -0.044842146, 0.08343615, -0.033038076, -0.06150062, 0.039518032, -0.06492163, -0.030211903, 0.12968743, 0.07873622, 0.072693035, -0.020500967]"
fillets,"[-0.029801589, 0.039352674, 0.01990644, 0.020631712, -0.05170425, 0.026374761, 0.00637986, 0.030645767, 0.045081813, 0.049117707, -0.028289245, 0.047169346, 0.04566032, -0.027506411, -0.01736716, 0.04927451, -0.036551956, 0.040941335, 0.03624891, 0.050982572, -0.032936357, -0.0037097079, 0.025158718, -0.012706568, -0.02345195, 0.0493904, -0.03199458, -0.041158676, -0.045027398, -0.023917565, 0.036111932, 0.008364042, 0.039376948, 0.029160043, 0.0132930605, -0.015906002, 0.012709077, 0.021315938, 0.00573501, -0.031612687, 0.050528165, -0.035722554, -0.039547622, -0.040535733, 0.024424382, -0.034923255, 0.025470052, -0.044220947, -0.021872608, 0.020437906, -0.042295817, -0.018609395, 0.018794088, 0.00835467, 0.061269313, 0.033116754, 0.038950287, -0.03518513, -0.0039563654, -0.026355874, -0.012810183, -0.019356472, 0.02036552, -0.034925867, 0.026181418, 0.011111937, -0.03813554, -0.02359497, 0.033791114, 0.0019209185, -0.041144032, -0.018565772, 0.033379562, 0.033330385, 0.04043985, 0.035839558, 0.027712485, -0.018095454, 0.030913169, -0.023655245, 0.043356083, 0.040518977, 0.05103505, 0.046524443, -0.0025865505, 0.034164503, -0.032580245, -0.029730802, 0.04061007, -0.028437076, 0.0012892634, -0.03298739, -0.034532387, 0.042767156, -0.030493747, 0.025412997, -0.008317619, 0.05380519, 0.045459926, 0.014350987]"
caramel_sauce,"[-0.030573552, 0.024826597, 0.016989868, 0.011833646, -0.044362992, 0.028435154, 0.008686504, 0.027488055, 0.016616363, 0.030027956, -0.044632602, 0.03143769, 0.016884891, -0.02372744, -0.0013022484, 0.037669323, -0.019746471, 0.022550326, 0.023879243, 0.021962583, -0.03214605, -0.011000227, 0.019673727, -0.010094729, -0.018953396, 0.031665202, -0.0227733, -0.046248984, -0.031224437, -0.017573858, 0.015805818, -0.0016382736, 0.04552894, 0.007917655, 0.025117818, -0.017781444, 0.025994385, 0.019897804, 0.012083653, -0.029814374, 0.021645715, -0.032106802, -0.035063725, -0.031121707, 0.030663136, -0.03060136, 0.033297416, -0.011564052, -0.01125929, 0.028509725, -0.026212811, -0.034259245, 0.029312072, 0.0075630993, 0.032406703, 0.029383888, 0.0394687, -0.03193318, -0.0032290323, -0.013514095, -0.013278997, -0.034169063, 0.013130166, -0.023669295, 0.023931079, 0.016199302, -0.02947353, -0.0102939205, 0.037679367, 0.013911912, -0.013578984, -0.022923164, 0.011110943, 0.022877198, 0.015733244, 0.027299514, 0.026486898, -0.031102581, 0.03255941, -0.017713355, 0.020385066, 0.020126943, 0.027031315, 0.036596157, -0.004115455, 0.029281061, -0.034906343, -0.033471808, 0.022799948, -0.01964015, -0.014053179, -0.02731149, -0.01426734, 0.019365799, -0.020612162, 0.0088980235, 0.0044088485, 0.023889147, 0.033351813, 0.024855038]"
szechwan_peppercorns,"[-0.048106294, 0.03843296, 0.0045500323, 0.026364073, -0.08590739, 0.010866131, 0.00069820957, 0.04837959, 0.02502537, 0.06831941, -0.03957012, 0.05691814, 0.054294955, -0.03407213, 0.025798509, 0.06216341, -0.035871334, 0.045265302, 0.044351164, 0.048762195, -0.058210168, 0.016660875, 0.029552411, 0.03399066, -0.015197674, 0.06656834, -0.012340245, -0.096056916, -0.065277345, -0.042479888, 0.04996787, 0.06343691, 0.06415942, -0.0013979186, -0.00093627436, -0.002878376, 0.014009134, 0.023336971, -0.025605967, -0.036214396, 0.057683557, -0.051572382, -0.06557852, -0.041502744, -0.006106427, -0.052113716, 0.041473363, -0.039912265, -0.010434905, 0.003789647, -0.05072374, -0.016097816, 0.016381143, -0.038609322, 0.077565104, 0.058428913, 0.06908833, -0.014431336, 0.0636383, -0.017210448, 0.034656666, -0.022408744, -0.0049998616, -0.053399652, 0.030922431, -0.026353035, -0.032026414, -0.014990131, 0.05294107, -0.023884587, -0.05415221, -0.01824444, 0.041030496, 0.026450658, 0.047036596, 0.03535594, 0.03131571, -0.0013184567, 0.049713943, -0.026517542, 0.045943465, 0.061076745, 0.05652854, 0.06908002, 0.038169578, 0.08068162, -0.050849643, -0.05473619, 0.05195139, -0.03178427, 0.018845085, -0.029160177, -0.040409822, 0.023480548, -0.041887406, 0.0038361652, 0.060479, 0.062395517, 0.03499666, 0.0037766169]"
dried_chile,"[-0.031291887, 0.04333204, 0.027467601, 0.02575206, -0.035213992, 0.0207276, 0.025021538, 0.039042268, 0.026977593, 0.02996437, -0.022135768, 0.033694834, 0.035586536, -0.02043777, -0.022599448, 0.026934478, -0.02193914, 0.018923257, 0.038516764, 0.04508023, -0.039559517, -0.011797676, 0.01344288, -0.007992176, -0.009018733, 0.044833105, -0.024191359, -0.033390615, -0.045580965, -0.027582465, 0.023859918, 0.0030273471, 0.031680368, 0.026870085, 0.019818027, -0.024919339, 0.029320197, 0.026736865, 0.011656365, -0.033097584, 0.033576366, -0.02804975, -0.041765533, -0.039285187, 0.02541181, -0.037041254, 0.016834512, -0.02857944, -0.018023584, 0.009942136, -0.030631356, -0.018537685, 0.020122372, 0.00590699, 0.0363828, 0.02957977, 0.040775515, -0.026979817, -0.0030864612, -0.021179551, -0.0035616134, -0.024120722, 0.022109205, -0.030744411, 0.026444277, 0.01388786, -0.033675402, -0.013614975, 0.02812734, 0.01833689, -0.039902266, -0.014068948, 0.02454487, 0.02370503, 0.039194778, 0.038927842, 0.02541066, -0.028796125, 0.031853553, -0.028229471, 0.03891543, 0.034655895, 0.03681152, 0.04080484, -0.023255412, 0.037190434, -0.020829057, -0.03325613, 0.042183015, -0.028789837, -0.0046842145, -0.023785358, -0.025562957, 0.03364643, -0.027524704, 0.023443636, -0.017885054, 0.04135508, 0.028788626, 0.02474987]"
rock_sugar,"[-0.032959875, 0.023801249, 0.021999061, 0.02503445, -0.023575991, 0.03077069, 0.026028616, 0.027803428, 0.020176636, 0.03163712, -0.027096612, 0.019412939, 0.020533301, -0.029773096, -0.024365438, 0.028187491, -0.03306368, 0.031026728, 0.016883604, 0.018243728, -0.02184943, -0.025434453, 0.0186694, -0.0151103875, -0.029414536, 0.029852359, -0.01678616, -0.0278797, -0.021917714, -0.018310003, 0.018439393, -0.023064792, 0.030601962, 0.017399043, 0.028360898, -0.02349738, 0.030592876, 0.036743164, 0.016301952, -0.02751273, 0.018175215, -0.028007172, -0.032122448, -0.025123358, 0.027151654, -0.024083082, 0.035492398, -0.022020401, -0.034149677, 0.01725104, -0.027453484, -0.023108784, 0.019676851, 0.025123388, 0.01973051, 0.03321684, 0.01916931, -0.017585013, -0.021021642, -0.035241213, -0.033721957, -0.031743523, 0.030868225, -0.024809174, 0.036625862, 0.017328983, -0.01712454, -0.02574161, 0.02459505, 0.023768347, -0.020865146, -0.028767569, 0.022884198, 0.029233042, 0.02465356, 0.029840836, 0.034358755, -0.026104668, 0.025949651, -0.0271702, 0.028158588, 0.01766086, 0.019991752, 0.03349431, -0.026321065, 0.020539729, -0.032590535, -0.017768737, 0.022406869, -0.018798517, -0.025015155, -0.024203554, -0.024578111, 0.018204253, -0.030548155, 0.02789697, -0.022404876, 0.031818975, 0.02434268, 0.02755214]"
red_kidney_beans,"[-0.0383053, 0.059882957, -0.01585573, 0.026502695, -0.06188041, 0.02242774, -0.011303307, 0.042777255, 0.042704985, 0.030972913, -0.00270168, 0.04601912, 0.07646568, -0.048922192, 0.00722857, 0.028913729, -0.033766225, 0.035848793, 0.05245932, 0.06814952, -0.03140323, 0.0038447909, -0.0030893586, 0.014515705, -0.021525703, 0.074188165, -0.027153555, -0.051187586, -0.055865135, -0.015802974, 0.052216962, 0.03781594, 0.026635097, 0.012950754, 0.0031784982, -0.0179105, -0.0007685556, 0.016800834, -0.02191889, -0.049291793, 0.05938747, -0.065732874, -0.057651147, -0.042910833, -0.008056872, -0.055945404, 0.021571554, -0.038279124, -0.012532306, 0.0010861227, -0.044401947, 0.008943864, 0.014997122, -0.025805257, 0.06389303, 0.023679623, 0.030219825, -0.016572282, 0.03894952, -0.03194541, 0.027770648, -0.010405106, -0.008201914, -0.025995173, 0.033019856, -0.012399492, -0.032283932, 0.0013183174, 0.040427014, -0.018004864, -0.062598236, -0.004542924, 0.04134201, 0.0028457886, 0.04381117, 0.0509742, 0.018669108, 0.005772438, 0.06376768, -0.001724652, 0.05425736, 0.06270735, 0.06863069, 0.04580799, 0.01990988, 0.02990289, -0.032736544, -0.052439045, 0.054144066, -0.044393614, 0.016030034, -0.01947994, -0.014026479, 0.023359606, -0.048705306, 0.0014876729, 0.022851745, 0.0664715, 0.043421585, -0.015394385]"
fresh_mushrooms,"[-0.05589297, 0.0782065, 0.0017250066, 0.0013665671, -0.11806156, 0.027094737, -0.016906578, 0.032212887, 0.05366219, 0.054841038, -0.045402203, 0.06929706, 0.11066469, -0.041303284, 0.0052083256, 0.049458258, -0.017294116, 0.03864101, 0.05527075, 0.08802985, -0.05596514, 0.03432732, -0.010383951, 0.04467653, -0.0016463926, 0.09697713, -0.0001390634, -0.11222187, -0.078650326, -0.013632177, 0.0560714, 0.08534278, 0.0698391, 0.03109446, -6.1000843e-05, -0.0016526721, 0.0008946309, 0.009235069, -0.038222935, -0.07179153, 0.07746557, -0.07989771, -0.0860641, -0.03942284, -0.012125571, -0.081411086, 0.009289905, -0.046633374, -0.015377719, -0.0066769, -0.039712403, 0.015139601, 0.00055424665, -0.047480125, 0.07940528, 0.032499198, 0.056230098, -0.007926163, 0.048879176, -0.02844518, 0.04644316, 0.0009980876, -0.013440025, -0.03846318, 0.026738338, -0.025798924, -0.02214451, 0.010659827, 0.053521443, -0.040771194, -0.09073626, 0.0066501037, 0.05778992, 0.0055838204, 0.041863505, 0.062111422, 0.013391954, -0.00067528046, 0.07094021, 0.0032475004, 0.08204079, 0.07642938, 0.10381797, 0.067555144, 0.0484771, 0.05322473, -0.05187114, -0.060936674, 0.07739034, -0.06474591, 0.058986753, -0.0105296895, -0.0152490605, 0.025430728, -0.07538763, -0.018995266, 0.06406898, 0.09214437, 0.049502738, -0.0057082977]"
